college,collegepop,collegemask
Alabama A&M,6001,TRUE
Alabama State University,4760,TRUE
Athens State University,4092,TRUE
Auburn University,4836,TRUE
Auburn University at Montgomery,4894,TRUE
Bevill State Community College,3873,TRUE
Birmingham-Southern College,1283,TRUE
Calhoun Community College,9861,TRUE
Central Alabama Community College,1681,TRUE
Enterprise State Community College,1705,TRUE
Gadsden State Community College,4979,TRUE
Huntingdon College,1102,TRUE
Jacksonville State University,8567,TRUE
Lurleen B. Wallace Community College,1838,TRUE
Marion Military Institute,446,TRUE
Miles College,1650,TRUE
Samford University,5509,TRUE
Snead State Community College,2220,TRUE
Southern Union State Community College,4828,TRUE
Spring Hill College,1485,TRUE
Troy University,7911,TRUE
Troy University Dothan,3023,TRUE
Troy University Montgomery,572,TRUE
"Troy State University, Phenix City",885,TRUE
Tuskegee University,3289,TRUE
University of Alabama,3143,TRUE
University of Alabama at Birmingham,2299,TRUE
University of Alabama in Huntsville,9101,TRUE
University of Montevallo,2717,TRUE
University of North Alabama,7204,TRUE
University of South Alabama,5898,TRUE
University of West Alabama,4646,TRUE
Ilisagvik College,111,TRUE
University of Alaska Anchorage,15733,TRUE
University of Alaska Fairbanks,"5,413",TRUE
University of Alaska Southeast,2342,TRUE
American Samoa Community College,1035,TRUE
Arizona State University,71946,TRUE
Arizona Western College,11653,TRUE
Dine College,1999,TRUE
Embry-Riddle Aeronautical University at Prescott,34000,TRUE
Grand Canyon University,83284,TRUE
Midwestern University at Glendale,83284,TRUE
Northern Arizona University,12941,TRUE
University of Arizona,43088,TRUE
Arkansas State University,14125,TRUE
Arkansas Tech University,11830,TRUE
Harding University,5541,TRUE
Henderson State University,3334,TRUE
Hendrix College,1249,TRUE
John Brown University,2613,TRUE
Lyon College,672,TRUE
National Park College,2017,TRUE
NorthWest Arkansas Community College,7715,TRUE
Ouachita Baptist University,1545,TRUE
Southern Arkansas University,4345,TRUE
University of Arkansas,27558,TRUE
University of Arkansas Community College Rich Mountain,938,TRUE
University of Arkansas at Little Rock,300,TRUE
University of Arkansas at Monticello,3700,TRUE
University of Arkansas at Pine Bluff,2612,TRUE
University of Arkansas for Medical Sciences,2460,TRUE
University of Arkansas-Fort Smith,6608,TRUE
University of Central Arkansas,11350,TRUE
University of the Ozarks,755,TRUE
Academy of Art University,6694,TRUE
Antelope Valley College,14298,TRUE
Azusa Pacific University,9926,TRUE
Bakersfield College,23195,TRUE
Biola University,6172,TRUE
California Baptist University,9941,TRUE
California Institute of Technology,2238,TRUE
California Lutheran University,3078,TRUE
"California Polytechnic State University, San Luis Obispo",22370,TRUE
"California State Polytechnic University, Pomona",25894,TRUE
California State University Maritime Academy,911,TRUE
"California State University, Bakersfield",10131,TRUE
"California State University, Channel Islands",7455,TRUE
"California State University, Chico",17875,TRUE
"California State University, Dominguez Hills",16219,TRUE
"California State University, East Bay",16538,TRUE
"California State University, Fullerton",40905,TRUE
"California State University, Long Beach",37622,TRUE
"California State University, Los Angeles",28531,TRUE
"California State University, Monterey Bay",7584,TRUE
"California State University, Northridge",41319,TRUE
"California State University, Sacramento",30716,TRUE
"California State University, San Bernardino",20692,TRUE
"California State University, San Marcos",15755,TRUE
"California State University, Stanislaus",10327,TRUE
Chapman University,9392,TRUE
Claremont McKenna College,1345,TRUE
Concordia University Irvine,4229,TRUE
Cypress College,15673,TRUE
Dominican University of California,1744,TRUE
Feather River College,3000,TRUE
Foothill College,12531,TRUE
Fresno Pacific University,4105,TRUE
Fresno State University,21462,TRUE
Harvey Mudd College,861,TRUE
Holy Names University,629,TRUE
Humboldt State University,8525,TRUE
Los Angeles Community College District,28206,TRUE
Loyola Marymount University,9618,TRUE
Menlo College,744,TRUE
Mills College,1310,TRUE
MiraCosta College,14617,TRUE
Modesto Junior College,62142,TRUE
Naval Postgraduate School,2704,TRUE
Notre Dame de Namur University,1613,TRUE
Occidental College,1972,TRUE
Pepperdine University,7710,TRUE
Pitzer College,1074,TRUE
Point Loma Nazarene University,4417,TRUE
Pomona College,1700,TRUE
Rio Hondo College,19948,TRUE
Saint Mary's College of California,2646,TRUE
San Diego Mesa College,23532,TRUE
San Diego Miramar College,15692,TRUE
San Diego State University System,35135,TRUE
San Francisco State University,29758,TRUE
San Jose State University,35835,TRUE
Santa Ana College,28083,TRUE
Santa Clara University,8631,TRUE
Santa Monica College,29760,TRUE
Scripps College,1083,TRUE
Shasta College,9160,TRUE
Skyline College,9221,TRUE
Solano Community College,9625,TRUE
Sonoma State University,9481,TRUE
Southwestern College,19783,TRUE
Stanford University,17534,TRUE
Teachers College of San Joaquin,846,TRUE
"University of California, Berkeley",41891,TRUE
"University of California, Davis",30982,TRUE
"University of California, Hastings College of Law",1028,TRUE
"University of California, Irvine",35242,TRUE
"University of California, Los Angeles",44027,TRUE
"University of California, Merced",7336,TRUE
"University of California, Riverside",23278,TRUE
"University of California, San Diego",88446,TRUE
"University of California, San Francisco",3107,TRUE
"University of California, Santa Barbara",25057,TRUE
"University of California, Santa Cruz",19457,TRUE
University of La Verne,8159,TRUE
University of Redlands,4898,TRUE
University of San Diego,8905,TRUE
University of San Francisco,11080,TRUE
University of Southern California,45687,TRUE
University of the Pacific,3640,TRUE
Westmont College,1300,TRUE
Whittier College,1987,TRUE
Adams State University,3314,TRUE
Arapahoe Community College,12421,TRUE
Colorado Christian University,5605,TRUE
Colorado College,2118,TRUE
Colorado Mesa University,11000,TRUE
Colorado Mountain College Glenwood Springs,5688,TRUE
Colorado School of Mines,6209,TRUE
Colorado State University,33083,TRUE
Colorado State University-Pueblo,6639,TRUE
Community College of Denver,8556,TRUE
Fort Lewis College,3319,TRUE
Front Range Community College,18880,TRUE
Johnson & Wales University-Denver,1170,TRUE
Metropolitan State University of Denver,20304,TRUE
Morgan Community College,1228,TRUE
Pikes Peak Community College,13275,TRUE
Pueblo Community College,6197,TRUE
Red Rocks Community College,7355,TRUE
Regis University,10087,TRUE
Trinidad State Junior College,1663,TRUE
United States Air Force Academy,4276,TRUE
University of Colorado Boulder,34595,TRUE
University of Colorado Colorado Springs,12932,TRUE
University of Colorado Denver and Anschutz Medical Campus,34595,TRUE
University of Denver,11434,TRUE
University of Northern Colorado,12968,TRUE
Western Colorado University,2814,TRUE
Albertus Magnus College,1464,TRUE
Central Connecticut State University,11880,TRUE
Connecticut College,1817,TRUE
Eastern Connecticut State University,5282,TRUE
Fairfield University,5192,TRUE
Mitchell College,707,TRUE
Post University,8540,TRUE
Quinnipiac University,8540,TRUE
Sacred Heart University,6158,TRUE
Southern Connecticut State University,10202,TRUE
Trinity College,2282,TRUE
Tunxis Community College,3857,TRUE
United States Coast Guard Academy,1044,TRUE
University of Bridgeport,5434,TRUE
University of Connecticut,18847,TRUE
University of Hartford,6561,TRUE
University of New Haven,6793,TRUE
University of New Haven,5216,TRUE
University of Saint Joseph,2405,TRUE
Wesleyan University,3213,TRUE
Western Connecticut State University,5664,TRUE
Yale University,12974,TRUE
Delaware State University,4352,TRUE
Delaware Technical Community College Dover,14195,TRUE
Delaware Technical Community College Georgetown,,TRUE
Delaware Technical Community College Stanton,,TRUE
Goldey-Beacom College,1823,TRUE
University of Delaware,24120,TRUE
Wesley College,1561,TRUE
Wilmington University,21000,TRUE
AdventHealth University,,TRUE
American Institute of Beauty,,FALSE
Barry University,7358,TRUE
Bethune-Cookman University,4143,TRUE
Broward College,40754,TRUE
Chipola College,2092,TRUE
City College at Gainesville,257,TRUE
College of Central Florida,10854,TRUE
Daytona State College,13970,TRUE
Eastern Florida State College,15769,TRUE
Eckerd College,2037,TRUE
Edward Waters College,3443,TRUE
Embry-Riddle Aeronautical University at Daytona Beach,6338,TRUE
Flagler College,2689,TRUE
Florida A&M University,9614,TRUE
Florida Atlantic University,37452,TRUE
Florida Career College at Tampa,457,FALSE
Florida College,555,FALSE
Florida Gateway College,3292,FALSE
